sample	trait	efo_id	pgs_id	source_pmid	n_variants	training_ancestry	n_matched	match_rate	inferred_ancestry	most_similar_pop	ancestry_distance	percentile	z_score	ci_low	ci_high	absolute_risk	baseline_incidence	risk_ratio	robustness_n_scores	robustness_concordance	evidence_grade	portability_flag	allowed_statement
SPL250502092712	bladder cancer	MONDO_0004986	PGS000071	33579919	15	EUR	10	0.6667	EUR	EUR	NA	38.8	-0.2134	NA	NA	NA	NA	NA	2	0.894	C	false	low variant coverage (67% of 15 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 11, concordance 0.894, different risk tertiles) — treat as uncertain
SPL250502092712	schizophrenia	MONDO_0005090	PGS000135	31416338	972439	EUR	873196	0.8979	EUR	EUR	NA	83.1	0.9244	NA	NA	NA	NA	NA	2	0.976	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	schizophrenia	MONDO_0005090	PGS000136	31416338	833502	EUR	748794	0.8984	EUR	EUR	NA	80.7	0.8365	NA	NA	NA	NA	NA	2	0.976	B	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	coeliac disease	MONDO_0005130	PGS000316	32790217	53	EUR	33	0.6226	EUR	EUR	NA	74.2	0.6217	NA	NA	NA	NA	NA	2	0.877	D	false	low variant coverage (62% of 53 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	autism spectrum disorder	MONDO_0005258	PGS000327	30804558	35087	EUR	27317	0.7786	EUR	EUR	NA	55.2	0.146	NA	NA	NA	NA	NA	2	0.682	C	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 32, concordance 0.682, different risk tertiles) — treat as uncertain
SPL250502092712	ovarian cancer	MONDO_0005140	PGS000351	32665703	30	EUR	20	0.6667	EUR	EUR	NA	73.3	0.5543	NA	NA	NA	NA	NA	2	0.658	C	false	low variant coverage (67% of 30 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic | multi-score robustness LOW: 2 scores disagree (percentile spread 34, concordance 0.658, different risk tertiles) — treat as uncertain
SPL250502092712	melanoma	MONDO_0005105	PGS000417	32991828	1109519	EUR	994519	0.8964	EUR	EUR	NA	62.8	0.3383	NA	NA	NA	NA	NA	2	0.977	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	melanoma	MONDO_0005105	PGS000419	32991828	436	EUR	362	0.8303	EUR	EUR	NA	65.1	0.0839	NA	NA	NA	NA	NA	2	0.977	A	false	explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	basal cell carcinoma	MONDO_0020804	PGS000456	32991828	30	EUR	22	0.7333	EUR	EUR	NA	92.4	1.3559	NA	NA	NA	NA	NA	2	1.0	C	false	low variant coverage (73% of 30 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
SPL250502092712	basal cell carcinoma	MONDO_0020804	PGS000457	32991828	30	EUR	22	0.7333	EUR	EUR	NA	92.4	1.3559	NA	NA	NA	NA	NA	2	1.0	C	false	low variant coverage (73% of 30 scoring variants matched) — input is not full-genotype; raw score is biased and NOT a valid PRS | explains only a fraction of trait variance; reduced accuracy outside training ancestry; screening context only, not diagnostic
